Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u;b;v;r
D:\_summer\projekts\20130626\testproject\1\01.bmp;0;125.97;122.534;117.706;982;947;866;823;765;734;708;634;566;551;401;326;241;219;180;161;67;66;66;85.6616;180;69.1401;120.882;21;11;4;2;2;2;442;0;2140;0;655;0;1049;2030;0;1233;0;581;2126;0;1155;0;563;2789;0;414;0;641;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;1;118.049;116.295;112.164;979;930;851;785;702;627;539;470;392;357;342;197;114;71;46;45;0;0;0;84.8822;60;68.6506;71.6361;9;7;5;0;0;0;687;0;1737;0;858;0;1249;1492;0;1564;0;788;1649;0;1405;0;790;1777;0;489;0;1578;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;2;129.867;121.751;115.176;1039;1010;890;856;806;730;673;632;567;525;372;315;290;274;266;240;230;205;158;68.6267;60;61.0439;60.6595;15;9;3;4;4;2;642;0;2395;0;699;0;750;2036;0;1303;0;505;2227;0;1081;0;536;2869;0;58;0;917;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;3;126.604;120.17;113.944;1027;946;902;873;833;784;733;699;571;494;466;419;360;275;215;212;199;185;148;66.6184;30;56.2717;61.5335;13;7;5;0;0;0;379;0;2435;0;751;0;658;2037;0;1511;0;296;2090;0;1365;0;389;3029;0;185;0;630;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;4;125.737;120.973;114.375;993;960;922;878;825;804;749;680;640;617;494;376;307;217;160;139;15;15;0;64.8067;60;48.5475;48.3306;12;9;5;0;0;0;557;0;2202;0;1042;0;600;1674;0;1886;0;284;1735;0;1903;0;206;2997;0;115;0;732;2;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;5;135.893;129.542;121.557;1080;1021;978;908;839;808;750;716;673;642;615;588;522;492;402;353;318;267;189;57.4826;60;40.3167;40.4943;19;11;5;4;4;2;923;0;2837;0;608;0;399;2178;0;1548;0;118;2577;0;1228;0;39;3702;0;0;0;142;2;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;6;116.767;115.3;108.505;1005;955;890;810;760;696;623;553;411;370;219;122;106;92;40;39;39;37;31;74.2451;60;46.7948;48.8336;6;4;3;1;1;1;924;0;1694;0;1073;0;1077;1762;0;1370;0;712;1853;0;1168;0;823;1205;0;743;0;1896;2;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;7;112.547;117.168;110.63;895;811;609;546;394;360;327;164;86;57;57;57;36;36;36;36;36;33;33;99.3369;60;41.7181;57.1803;12;8;4;0;0;0;997;310;1076;0;1512;0;1256;915;0;2035;0;894;1010;0;1942;0;892;967;0;2010;0;867;1;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;8;110.218;112.715;106.449;1067;1041;979;940;814;737;527;457;307;227;184;120;119;116;103;101;99;76;14;93.5486;60;49.1857;59.4346;15;8;3;1;1;1;400;0;1952;0;962;0;930;1825;0;1601;0;418;1739;0;1487;0;618;2053;0;1715;0;76;2;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;9;112.034;115.092;107.132;980;946;891;873;783;753;632;601;442;395;337;278;217;204;146;15;0;0;0;98.0055;120;51.1775;55.7787;11;9;5;1;1;1;294;0;1672;0;1149;0;1023;1530;0;1836;0;478;1835;0;1573;0;436;1788;0;645;0;1411;1;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;10;126.779;123.963;119.26;1006;943;898;848;808;726;608;546;515;508;442;429;392;354;258;222;177;176;139;85.507;60;68.8487;71.2427;18;11;3;3;3;2;988;0;2543;0;640;0;661;2207;0;1362;0;275;2249;0;1319;0;276;2931;0;26;0;887;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;11;112.54;112.763;109.575;960;921;836;788;721;639;454;375;288;194;174;148;122;82;44;43;41;41;34;100.99;180;72.5846;109.713;14;6;3;1;1;1;786;0;2206;0;543;0;1095;2491;0;957;0;396;2593;0;666;0;585;2829;0;500;0;515;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;12;116.841;115.467;110.983;1047;1000;869;836;790;718;600;485;358;284;203;183;146;145;88;88;82;77;77;82.4266;60;63.8774;66.9206;13;9;4;3;3;2;488;0;2340;0;468;0;1036;2378;0;1013;0;453;2426;0;912;0;506;2482;0;399;0;963;2;0;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;13;110.965;111.06;106.962;995;958;833;785;727;626;516;495;361;314;192;75;0;0;0;0;0;0;0;83.4688;60;62.4459;66.348;8;7;2;0;0;0;412;0;1994;0;700;0;1150;2285;0;903;0;656;2181;0;839;0;824;1872;0;1233;0;739;2;1;1
D:\_summer\projekts\20130626\testproject\1\01.bmp;14;117.242;114.339;109.78;975;929;840;808;777;697;624;560;473;445;389;284;226;216;199;180;79;79;57;88.937;60;67.835;70.9787;9;5;3;0;0;0;1030;0;2030;0;781;0;1033;1821;0;1532;0;491;1605;0;1487;0;752;2347;0;541;0;956;2;0;1
