Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;0;127.333;140.975;121.106;1074;1056;1017;991;964;931;895;865;823;797;756;729;680;632;613;605;597;546;532;101.562;108;15.6997;16.9688;31;17;6;6;6;3;510;0;1723;0;1692;236;193;2144;0;1128;489;83;2679;0;690;437;38;2590;0;850;300;104
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;1;106.287;118.372;98.0338;1069;1036;977;950;869;808;742;713;659;600;523;427;374;364;341;335;259;245;237;97.2261;98;19.6445;19.6745;18;7;3;2;2;2;0;0;2010;0;872;371;591;1888;0;695;537;724;1685;0;294;1142;723;958;0;964;865;1057
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;2;66.3143;66.4032;61.3182;923;851;745;690;665;602;519;462;408;384;339;319;221;178;120;85;1;0;0;57.0143;60;37.4355;37.9618;5;3;1;0;0;0;0;0;45;0;0;2232;1567;645;0;0;1792;1407;566;0;0;2035;1243;147;0;0;3187;510
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;3;64.8959;65.5148;59.8267;875;779;751;638;624;586;515;479;366;356;326;250;214;206;88;35;33;5;5;63.845;60;39.362;39.3485;1;1;1;0;0;0;0;0;108;0;13;2158;1565;421;0;15;1943;1465;488;0;0;1958;1398;435;0;0;2320;1089
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;4;95.7094;85.128;82.6217;1056;1016;985;962;917;851;824;758;696;646;622;561;540;475;455;368;350;229;169;43.9251;0;39.4612;37.8359;20;10;5;2;2;2;189;0;784;0;728;1945;387;1615;0;368;1702;159;2675;0;10;1145;14;2749;0;0;807;288
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;5;117.462;99.9641;98.006;1066;1053;1032;1002;966;941;903;887;829;810;782;773;728;644;598;548;506;327;284;24.2313;0;24.5536;20.676;43;21;6;8;6;4;1081;0;783;0;1769;1262;30;1274;0;1162;1408;0;3616;0;102;126;0;3844;0;0;0;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;6;112.587;99.4997;97.3398;974;930;902;888;867;837;820;816;793;751;728;692;654;619;572;564;481;460;431;30.9417;0;31.9177;26.0353;23;11;4;4;4;3;160;0;1090;0;808;1346;600;2009;0;658;683;494;2615;0;532;430;267;1860;0;700;407;877
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;7;114.052;100.392;98.7932;1004;991;939;915;867;845;807;787;761;742;672;666;626;586;551;551;529;497;481;44.4912;0;46.4026;31.0751;27;13;5;1;1;1;346;0;1196;0;848;1617;183;2321;0;616;781;126;2861;0;338;529;116;2083;0;861;321;579
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;8;85.4321;79.4893;74.5512;1033;980;879;815;748;669;578;543;506;486;383;336;317;262;215;196;179;155;137;46.0957;60;36.5689;42.3221;8;5;3;1;1;1;674;0;524;0;274;1575;1471;1256;0;122;1092;1374;1338;0;4;1054;1448;1202;0;24;1602;1016
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;9;98.494;87.7339;84.5193;1061;1038;988;971;940;904;865;843;809;768;673;631;579;522;447;427;370;337;250;44.7123;0;44.1992;43.5995;24;13;6;2;2;2;622;0;1225;0;556;1509;554;1916;0;458;1109;361;2531;0;115;1012;186;1663;0;252;873;1056
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;10;118.04;130.894;114.054;1078;1046;987;907;829;763;705;686;652;614;584;573;547;531;505;491;451;440;389;108.948;107;27.9234;27.8278;28;12;7;2;2;2;1454;0;1457;0;1881;325;181;1438;0;1680;625;101;2485;0;895;414;50;1320;0;1569;934;21
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;11;115.004;125.159;107.412;1073;1054;1025;1021;996;975;938;915;899;894;803;794;745;714;653;640;623;585;552;95.6191;98;29.9541;30.1375;33;15;5;2;2;2;409;0;1582;0;1185;1051;26;2180;0;726;938;0;3178;0;120;546;0;3179;0;618;47;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;12;90.4266;81.0944;79.1054;1078;1038;1015;985;983;947;896;844;770;706;650;544;508;406;390;338;302;220;181;49.8777;0;48.1261;44.9613;27;16;6;3;3;2;608;0;618;0;456;2667;103;2063;0;164;1585;32;3012;0;0;832;0;3172;0;0;672;0
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;13;105.364;92.045;90.4701;1051;1029;994;977;931;920;865;840;780;764;729;696;633;530;484;473;394;369;355;45.1413;0;41.2102;26.9327;32;17;6;5;4;3;836;0;816;0;964;1986;78;1545;0;473;1813;13;3538;0;6;300;0;3749;0;0;27;68
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;14;95.2037;84.4912;81.9938;1057;1035;977;955;911;882;815;757;695;675;631;500;395;391;374;291;238;231;183;40.3634;0;34.3227;32.1891;18;11;2;4;3;1;220;0;451;0;630;2200;563;1453;0;291;1691;409;2940;0;18;656;230;3195;0;0;592;57
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;15;112.837;96.6889;93.0372;993;965;912;887;876;858;823;774;746;728;648;640;605;583;533;494;453;437;426;26.3413;0;25.6209;28.8494;36;16;4;8;6;3;315;0;1046;0;778;1507;513;1980;0;489;940;435;3134;0;0;301;409;3219;0;2;272;351
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;16;116.873;98.8522;96.8483;919;893;824;792;776;770;759;741;723;677;641;573;514;508;464;444;416;374;351;32.5968;0;32.3959;20.2097;27;12;4;3;3;2;61;0;1110;0;875;879;980;1599;0;712;692;841;2566;0;326;157;795;2147;0;844;170;683
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;17;128.84;115.767;113.232;987;963;937;920;878;835;805;798;788;763;754;737;717;690;648;624;601;595;588;37.7477;0;39.8649;36.5837;21;10;4;4;2;1;646;0;1419;0;822;1204;399;2401;0;628;451;364;2759;0;523;246;316;1787;0;1117;139;801
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;18;86.693;80.9017;75.4011;962;890;785;726;666;607;463;410;383;363;317;285;281;274;207;181;169;169;142;43.884;60;33.3063;38.6771;8;6;3;1;1;1;11;0;423;0;197;1231;1993;1004;0;53;707;2080;965;0;92;603;2184;953;0;159;1543;1189
C:\Users\lipovitsa\Documents\_img\urban\prg\UrbanizationIndexUj_LT_20140827\UrbanizationIndexUj_LT_20140814\UrbanizationIndex\bin\Debug\tempproject\1\01.bmp;19;79.661;81.0593;71.0934;724;658;440;341;278;250;171;148;110;50;42;30;29;28;0;0;0;0;0;72.4589;97;28.8093;37.847;0;0;0;0;0;0;0;0;377;0;118;1;3348;307;0;149;1;3387;103;0;180;50;3511;0;0;407;205;3232
